StudentID,StudyHours,AttendanceRate,ProjectScores,ExamScores
1,5.99,52.82,63.48,33.14
2,4.72,45.1,52.81,28.46
3,6.3,61.29,73.83,46.79
4,8.05,76.49,91.04,56.53
5,4.53,44.49,31.52,24.51
6,4.53,47.32,35.92,27.37
7,8.16,91.03,86.75,62.99
8,6.53,66.17,70.44,40.64
9,4.06,41.89,45.75,30.65
10,6.09,60.53,99.43,49.41
11,4.07,31.11,46.41,23.8
12,4.07,40.57,52.06,34.91
13,5.48,55.1,64.34,42.15
14,1.17,24.02,18.21,17.2
15,1.55,14.54,12.35,15.21
16,3.88,40.31,46.39,27.67
17,2.97,29.53,21.97,20.05
18,5.63,50.46,53.93,32.02
19,3.18,37.51,26.95,22.23
20,2.18,25.56,22.62,14.68
21,7.93,83.26,102.45,59.37
22,4.55,40.95,26.83,25.13
23,5.14,58.41,58.26,32.97
24,2.15,14.49,5.37,17.28
25,3.91,42.03,34.38,19.46
26,5.22,63.15,63.09,33.89
27,2.7,22.05,27.64,21.78
28,5.75,54.67,46.72,36.68
29,3.8,38.5,30.85,25.45
30,4.42,41.68,51.0,32.71
31,3.8,30.25,30.7,19.74
32,8.7,87.34,89.16,51.94
33,4.97,44.39,50.16,30.73
34,2.88,31.17,22.28,13.8
35,6.65,61.9,87.94,52.49
36,2.56,33.35,31.94,19.88
37,5.42,50.28,33.95,23.31
38,1.08,9.19,12.66,5.38
39,2.34,27.47,16.78,16.28
40,5.39,47.75,62.42,32.39
41,6.48,65.94,56.87,35.32
42,5.34,59.94,52.25,37.01
43,4.77,39.66,52.75,30.86
44,4.4,44.92,52.66,28.5
45,2.04,21.7,8.4,7.49
46,3.56,39.51,32.25,24.11
47,4.08,34.62,36.05,15.59
48,7.11,64.5,64.57,34.53
49,5.69,59.51,74.55,38.9
50,1.47,16.18,18.75,10.0
51,5.65,57.75,43.89,34.31
52,4.23,44.03,51.48,37.72
53,3.65,33.1,57.72,32.99
54,6.22,63.36,72.52,42.45
55,7.06,72.07,55.41,40.97
56,6.86,65.03,63.76,36.37
57,3.32,42.53,45.87,27.76
58,4.38,46.17,36.72,25.18
59,5.66,50.64,61.04,37.38
60,6.95,72.78,77.25,43.65
61,4.04,35.53,31.13,24.21
62,4.63,50.24,45.7,38.3
63,2.79,33.69,-4.51,9.33
64,2.61,22.0,15.86,14.41
65,6.63,71.12,63.77,46.57
66,7.71,79.16,64.62,44.21
67,4.86,52.71,64.92,38.35
68,7.01,79.58,55.8,43.48
69,5.72,55.97,52.8,35.41
70,3.71,33.33,38.41,19.14
71,5.72,52.75,71.61,39.72
72,8.08,76.72,66.44,48.67
73,4.93,48.91,60.93,42.18
74,8.13,83.01,81.4,57.37
75,-0.24,-1.02,-12.22,6.7
76,6.64,70.54,71.02,41.29
77,5.17,51.77,53.69,38.07
78,4.4,51.27,38.0,29.46
79,5.18,50.48,52.5,43.92
80,1.02,23.8,6.35,5.41
81,4.56,48.73,46.74,26.27
82,5.71,52.81,63.72,34.25
83,7.96,74.25,95.46,43.48
84,3.96,42.01,27.22,19.72
85,3.38,32.68,55.13,23.9
86,4.0,43.57,20.48,21.57
87,6.83,70.67,66.78,45.68
88,5.66,56.24,62.48,47.26
89,3.94,35.17,42.21,29.54
90,6.03,52.73,54.07,31.57
91,5.19,49.67,49.82,27.43
92,6.94,73.68,64.47,46.68
93,3.6,37.07,30.11,14.99
94,4.34,37.17,51.9,37.61
95,4.22,43.07,45.77,34.24
96,2.07,22.63,13.77,9.4
97,5.59,51.48,64.9,28.58
98,5.52,55.97,58.27,43.25
99,5.01,50.39,58.23,34.02
100,4.53,39.59,51.6,35.36
